[2026-03-17T07:25:07.539Z] GET http://localhost:3000/_next/static/chunks/node_modules_%40swc_helpers_cjs_d80fb378._.js → 200 (32ms, ?B)
[2026-03-17T07:25:07.539Z] GET http://localhost:3000/_next/static/chunks/_a0ff3932._.js → 200 (34ms, ?B)
[2026-03-17T07:25:07.539Z] GET http://localhost:3000/_next/static/chunks/turbopack-_23a915ee._.js → 200 (49ms, ?B)
[2026-03-17T07:25:07.539Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_be32b49c._.js → 200 (49ms, ?B)
[2026-03-17T07:25:07.539Z] GET http://localhost:3000/_next/static/chunks/src_app_favicon_ico_mjs_81d86e48._.js → 200 (37ms, ?B)
[2026-03-17T07:25:07.539Z] GET http://localhost:3000/_next/static/chunks/node_modules_37ac4981._.js → pending (?ms, ?B)
[2026-03-17T07:25:07.539Z] GET http://localhost:3000/_next/static/chunks/src_app_providers_tsx_9c18dcf0._.js → pending (?ms, ?B)
[2026-03-17T07:25:07.539Z] GET http://localhost:3000/_next/static/chunks/src_app_layout_tsx_1cf6b850._.js → pending (?ms, ?B)
[2026-03-17T07:25:07.539Z] GET http://localhost:3000/_next/static/chunks/node_modules_3d332450._.js → pending (?ms, ?B)
[2026-03-17T07:25:07.539Z] GET http://localhost:3000/_next/static/chunks/_c5d8c4b7._.js → pending (?ms, ?B)
[2026-03-17T07:25:07.539Z] GET http://localhost:3000/_next/static/chunks/src_app_app_layout_tsx_c4469048._.js → pending (?ms, ?B)
[2026-03-17T07:25:07.539Z] GET http://localhost:3000/_next/static/chunks/src_62b565bb._.js → pending (?ms, ?B)
[2026-03-17T07:25:07.540Z] GET http://localhost:3000/_next/static/chunks/node_modules_5c4e19d6._.js → pending (?ms, ?B)
[2026-03-17T07:25:07.540Z] GET http://localhost:3000/_next/static/chunks/src_app_app_%5BpostId%5D_page_tsx_f56eeb8a._.js → pending (?ms, ?B)
[2026-03-17T07:25:07.540Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_components_builtin_global-error_1cf6b850.js → pending (?ms, ?B)
[2026-03-17T07:25:07.681Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_c8c997ce._.js → 200 (38ms, 15433B)
[2026-03-17T07:25:07.681Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_c7192189._.js → 200 (38ms, 288B)
[2026-03-17T07:25:07.725Z] GET http://localhost:3000/__nextjs_font/geist-latin.woff2 → 200 (1ms, ?B)
[2026-03-17T07:25:08.973Z] POST http://localhost:3000/api/auth → 200 (383ms, 642B)
[2026-03-17T07:26:51.462Z] POST http://localhost:3000/__nextjs_original-stack-frames → 200 (81ms, 1044B)
[2026-03-17T07:26:51.472Z] POST http://localhost:3000/__nextjs_original-stack-frames → 200 (70ms, 2491B)
[2026-03-17T07:29:08.859Z] GET http://localhost:3000/app/j979kjvfnrr1zfdnekpq8dqjnh832k51 → 200 (689ms, ?B)
[2026-03-17T07:29:09.688Z] GET http://localhost:3000/_next/static/media/5f402bd2d8eef81a-s.p.b72f0478.woff2 → 200 (?ms, ?B)
[2026-03-17T07:29:09.697Z] GET http://localhost:3000/_next/static/media/a343f882a40d2cc9-s.p.71e1367e.woff2 → 200 (30ms, ?B)
[2026-03-17T07:29:09.727Z] GET http://localhost:3000/_next/static/chunks/%5Broot-of-the-server%5D__6d41bae8._.css → pending (?ms, ?B)
[2026-03-17T07:29:09.730Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_956a0d3a._.js → pending (?ms, ?B)
[2026-03-17T07:29:09.730Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_react-dom_1e674e59._.js → pending (?ms, ?B)
[2026-03-17T07:29:09.730Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_react-server-dom-turbopack_9212ccad._.js → pending (?ms, ?B)
[2026-03-17T07:29:09.730Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_next-devtools_index_1dd7fb59.js → pending (?ms, ?B)
[2026-03-17T07:29:09.755Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_a0e4c7b4._.js → pending (?ms, ?B)
[2026-03-17T07:29:09.755Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_17643121._.js → pending (?ms, ?B)
[2026-03-17T07:29:09.755Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_f3530cac._.js → pending (?ms, ?B)
[2026-03-17T07:29:09.755Z] GET http://localhost:3000/_next/static/chunks/node_modules_%40swc_helpers_cjs_d80fb378._.js → pending (?ms, ?B)
[2026-03-17T07:29:09.755Z] GET http://localhost:3000/_next/static/chunks/_a0ff3932._.js → pending (?ms, ?B)
[2026-03-17T07:29:09.755Z] GET http://localhost:3000/_next/static/chunks/turbopack-_23a915ee._.js → pending (?ms, ?B)
[2026-03-17T07:29:09.785Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_be32b49c._.js → pending (?ms, ?B)
[2026-03-17T07:29:09.785Z] GET http://localhost:3000/_next/static/chunks/src_app_favicon_ico_mjs_81d86e48._.js → pending (?ms, ?B)
[2026-03-17T07:29:09.789Z] GET http://localhost:3000/_next/static/chunks/node_modules_37ac4981._.js → pending (?ms, ?B)
[2026-03-17T07:29:09.790Z] GET http://localhost:3000/_next/static/chunks/src_app_providers_tsx_9c18dcf0._.js → pending (?ms, ?B)
[2026-03-17T07:29:09.792Z] GET http://localhost:3000/_next/static/chunks/src_app_layout_tsx_1cf6b850._.js → pending (?ms, ?B)
[2026-03-17T07:29:09.793Z] GET http://localhost:3000/_next/static/chunks/node_modules_3d332450._.js → pending (?ms, ?B)
[2026-03-17T07:29:09.857Z] GET http://localhost:3000/_next/static/chunks/_c5d8c4b7._.js → pending (?ms, ?B)
[2026-03-17T07:29:09.857Z] GET http://localhost:3000/_next/static/chunks/src_app_app_layout_tsx_c4469048._.js → pending (?ms, ?B)
[2026-03-17T07:29:09.857Z] GET http://localhost:3000/_next/static/chunks/src_62b565bb._.js → pending (?ms, ?B)
